计数,名称,内容,位置 X,位置 Y,位置 Z,直径,中心 X,中心 Y,中心 Z
1,圆,,,,,10.0349,14601.7577,5697.6387,0.0000
1,圆,,,,,17.4008,14605.9118,5277.3928,0.0000
1,圆,,,,,10.0349,14584.8211,5646.7276,0.0000
1,圆,,,,,10.0349,14602.3416,4739.8755,0.0000
1,圆,,,,,10.0349,14360.6063,5840.8601,0.0000
1,圆,,,,,17.4008,14360.5414,5840.8769,0.0000
1,圆,,,,,10.0349,14349.5755,5704.2301,0.0000
1,圆,,,,,17.4008,14349.5106,5704.2468,0.0000
1,圆,,,,,10.0349,14595.0363,4390.7956,0.0000
1,圆,,,,,17.4008,14594.9713,4390.8124,0.0000
1,圆,,,,,10.0349,14596.7357,4210.6108,0.0000
1,圆,,,,,17.4008,14596.6708,4210.6276,0.0000
1,圆,,,,,10.0349,13421.5903,4732.0012,0.0000
1,圆,,,,,17.4008,13421.5254,4732.0180,0.0000
1,圆,,,,,10.0349,13430.6788,2796.6191,0.0000
1,圆,,,,,17.4008,13430.6139,2796.6359,0.0000
1,圆,,,,,10.0349,13898.3515,1730.7839,0.0000
1,圆,,,,,17.4008,13898.2865,1730.8007,0.0000
1,圆,,,,,10.0349,13352.2080,5603.3476,0.0000
1,圆,,,,,17.4008,13352.1431,5603.3644,0.0000
1,圆,,,,,17.4008,13501.2428,1918.0880,0.0000
1,圆,,,,,17.4008,13117.5849,5207.9378,0.0000
1,圆,,,,,10.0349,13123.3076,5454.1369,0.0000
1,圆,,,,,17.4008,13151.3759,4759.0387,0.0000
1,圆,,,,,10.0349,13117.6499,5207.9210,0.0000
1,圆,,,,,17.4008,13124.9554,5666.3437,0.0000
1,圆,,,,,10.0349,13501.3077,1918.0713,0.0000
1,圆,,,,,17.4008,13123.2427,5454.1537,0.0000
1,圆,,,,,10.0349,13125.0203,5666.3269,0.0000
1,圆,,,,,17.4008,13606.8575,5565.3067,0.0000
1,圆,,,,,10.0349,13597.5333,5865.5136,0.0000
1,圆,,,,,17.4008,13633.8171,4810.2978,0.0000
1,圆,,,,,10.0349,13606.9224,5565.2900,0.0000
1,圆,,,,,17.4008,13816.1677,5612.6476,0.0000
1,圆,,,,,10.0349,14229.7109,3184.2339,0.0000
1,圆,,,,,17.4008,13597.4684,5865.5304,0.0000
1,圆,,,,,10.0349,13816.2326,5612.6308,0.0000
1,圆,,,,,10.0349,13633.8820,4810.2810,0.0000
1,圆,,,,,10.0349,13742.5414,3909.5236,0.0000
1,圆,,,,,17.4008,13742.4765,3909.5404,0.0000
1,圆,,,,,10.0349,13758.8552,3549.0882,0.0000
1,圆,,,,,17.4008,13758.7903,3549.1050,0.0000
1,圆,,,,,10.0349,13630.8216,4693.4871,0.0000
1,圆,,,,,17.4008,13630.7567,4693.5039,0.0000
1,圆,,,,,10.0349,13687.3159,4259.1266,0.0000
1,圆,,,,,17.4008,13687.2510,4259.1434,0.0000
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;36.30},13085.5958,4759.8308,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;33.78},8096.2577,4393.2523,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;34.05},7801.5473,4513.4467,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;33.54},7608.5343,4203.1074,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-475.67},7597.9903,4183.2029,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-408.80},7554.2376,4743.0288,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;33.92},7315.0185,4733.7085,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;389.30},7796.9337,4500.4187,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;34.26},7562.5282,4757.3667,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-468.12},7338.7050,4041.8254,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-453.87},7049.0555,4073.5545,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-495.92},7724.3121,3684.9519,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-495.57},7017.4736,3742.1499,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;33.01},7056.1080,4089.4945,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;36.53},7493.5098,3900.0622,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-486.45},7486.9332,3883.7763,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;34.19},7731.2835,3698.8132,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;36.69},7345.1255,4057.6280,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;34.46},8084.8063,4828.4523,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-342.23},8075.2422,4815.1106,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-322.44},7561.1966,5103.1946,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;34.40},7773.1216,4993.1490,0.0000,,,,
